DESTATIS;REGION;HIGHCHARTS
8237;      Freudenstadt, Landkreis; de-bw-08237000
9272;      Freyung-Grafenau, Landkreis; de-by-09272000
3455;      Friesland, Landkreis; de-ni-03455000
6631;      Fulda, Landkreis; de-he-06631000
9179;      F™rstenfeldbruck, Landkreis; de-by-09179000
9563;      F™rth; de-by-09563000
9573;      F™rth, Landkreis; de-by-09573000
9180;      Garmisch-Partenkirchen, Landkreis; de-by-09180000
5513;      Gelsenkirchen, Kreisfreie Stadt; de-nw-05513000
16052;      Gera, krsfr. Stadt; de-th-16052000
7334;      Germersheim, Landkreis; de-rp-07334000
6531;      Gie_en, Landkreis; de-he-06531000
3151;      Gifhorn, Landkreis; de-ni-03151000
3153;      Goslar, Landkreis; de-ni-03153000
16067;      Gotha, Kreis; de-th-16067000
3456;      Grafschaft Bentheim, Landkreis; de-ni-03456000
16076;      Greiz, Kreis; de-th-16076000
6433;      Gro_-Gerau, Landkreis; de-he-06433000
8117;      G_ppingen, Landkreis; de-bw-08117000
14263;      G_rlitz, Kreisfreie Stadt;
14626;      G_rlitz, Landkreis; de-sn-14626000
3152;      G_ttingen, Landkreis; de-ni-03152000
9774;      G™nzburg, Landkreis; de-by-09774000
5754;      G™tersloh, Kreis; de-nw-05754000
9674;      Ha_berge, Landkreis; de-by-09674000
5914;      Hagen, Kreisfreie Stadt; de-nw-05914000
15357;      Halberstadt, Kreis;
15002;      Halle (Saale), Kreisfreie Stadt; de-st-15002000
15202;      Halle (Saale), Kreisfreie Stadt;
3252;      Hameln-Pyrmont, Landkreis; de-ni-03252000
5915;      Hamm, Kreisfreie Stadt; de-nw-05915000
3241001;      Hannover, Landeshauptstadt;
3353;      Harburg, Landkreis; de-ni-03353000
15085;      Harz, Landkreis; de-st-15085000
12063;      Havelland, Landkreis; de-bb-12063000
3358;      Heidekreis, Landkreis; de-ni-03358000
8221;      Heidelberg, Kreisfreie Stadt; de-bw-08221000
8135;      Heidenheim, Landkreis; de-bw-08135000
8121;      Heilbronn, Kreisfreie Stadt; de-bw-08125000
8125;      Heilbronn, Landkreis; de-bw-08121000
5370;      Heinsberg, Kreis; de-nw-05370000
3154;      Helmstedt, Landkreis; de-ni-03154000
5758;      Herford, Kreis; de-nw-05758000
5916;      Herne, Kreisfreie Stadt; de-nw-05916000
6632;      Hersfeld-Rotenburg, Landkreis; de-he-06632000
1053;      Herzogtum Lauenburg, Landkreis; de-sh-01053000
16069;      Hildburghausen, Kreis; de-th-16069000
3254;      Hildesheim, Landkreis; de-ni-03254000
5958;      Hochsauerlandkreis; de-nw-05958000
